Job Title,Job Descriptions
Administrative Assistant I (Computer Operator I),"Operate computer systems for data entry, processing, and report generation. Maintain and update digital records in databases or internal systems. Perform data validation, cleanup, and file organization. Generate reports using Excel or system-based tools. Monitor system outputs and report errors or inconsistencies. Provide basic technical support for office applications and systems. Assist in maintaining backups, documentation, and digital records. Coordinate with IT staff for system maintenance and troubleshooting.. Operate computer systems for data encoding, processing, and report generation. Manage and maintain digital records, databases, and files. Perform data validation, updating, and system-based documentation. Provide basic technical support for office software, hardware, and system-related concerns. Monitor system performance and report issues or errors to IT personnel. Assist in maintaining backups, file organization, and data security protocols. Generate reports and summaries using spreadsheets and database systems. Support the implementation of digital workflows and administrative systems. Ensure compliance with data privacy and information security policies. Coordinate with IT staff for system maintenance, upgrades, and troubleshooting."
Administrative Officer II,"Administrative Officer II role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Administrative Staff / Auditing,"Assist in reviewing digital records, transactions, and system data for audit purposes. Validate data accuracy and ensure compliance with policies and procedures. Prepare audit reports, documentation, and supporting records. Analyze data using Excel or reporting tools to identify discrepancies. Maintain audit trails and documentation within system platforms. Coordinate with IT and operations teams during audit activities. Monitor implementation of audit recommendations and corrective actions. Support internal controls and data governance processes.. The Administrative Staff supports company operations by providing administrative and operational assistance, ensuring timely documentation, compliance with business requirements, and maintaining an organized and efficient office environment.
This role is critical in supporting business processes such as permit renewals, procurement, inventory management, and coordination with external stakeholders to ensure smooth day-to-day operations.
Strong organizational and time-management skills.
Proficiency in MS Office applications (Word, Excel, Outlook).
Excellent communication skills (written and verbal).
Ability to coordinate with multiple stakeholders and manage documentation requirements.
Detail-oriented with a commitment to accuracy and compliance.
Knowledge of government permit processes (Business Permit, FSIC, PEZA) is an advantage."
Administrative Trainee,"Assist in data entry, validation, and record management using digital systems. Support administrative workflows through system-based platforms. Generate reports using Excel or internal tools. Help maintain documentation and digital records. Assist in basic troubleshooting of system or user issues. Coordinate with IT or operations teams for support tasks.. The Administrative OJT provides support to the administrative team by performing clerical and organizational tasks.
This role offers hands-on experience in office operations, documentation, and coordination, helping the trainee develop professional skills in a corporate environment.
Basic knowledge of Microsoft Office (Word, Excel, PowerPoint).
Good communication and interpersonal skills.
Organized, detail-oriented, and willing to learn.
Able to maintain confidentiality of sensitive information.
Administrative and clerical skills.
Time management and organization.
Attention to detail.
Professionalism and work ethics.
Teamwork and adaptability."
Allocation Staff,"Allocate tasks or data entries using internal systems or databases. Monitor allocation workflows and ensure accuracy of records. Analyze allocation data using Excel or reporting tools. Maintain and update system records and documentation. Identify process inefficiencies and suggest improvements. Coordinate with teams for system-related concerns.. Allocate tasks, resources, or data entries using system-based platforms or databases. Monitor and update allocation records to ensure accuracy and efficiency. Analyze allocation data to identify trends, bottlenecks, or inconsistencies. Maintain and manage databases related to resource or task distribution. Generate reports and dashboards for tracking allocation performance. Coordinate with IT teams, analysts, and operations staff for system improvements. Ensure compliance with system protocols, data standards, and security policies. Perform data validation, cleansing, and updates within the system. Assist in automating allocation processes using digital tools or scripts. Document allocation procedures, workflows, and system updates."
Assistant Software Engineer – Application Developer,"Assist in developing, testing, and maintaining web or mobile applications. Write clean, efficient, and maintainable code. Debug and troubleshoot application issues. Collaborate with developers, QA, and product teams. Participate in code reviews and system improvements. Document code, features, and development processes.. Responsible for the creation, modification and development of general computer applications or programs.
Help supervises application developers on the development of applications and project activities.
Ensures proper development of applications/software programs based on project requirements.
Do detailed data gathering and formulate application architecture design.
Contribute to the design of data gathering tools and application architecture design tools and methodologies.
Develop high-quality applications based on requirements.
Guide other team members through development, coding structure, design patterns, and security.
Conduct source code reviews.
Proficient in multiple RDBMS such as MS SQL, MySQL, PostgreSQL, and others.
Guide team members on database schema design structure and reporting tools.
Design databases and develop high-quality reports.
Knowledgeable in using Git for source code version control.
Manage the deployment of all applications.
Guide team members through application deployment.
Perform STLC (Software Testing Life Cycle) independently.
Perform fixes in production independently.
Provide knowledge base documentation.
Conduct knowledge transfer and training related to customized applications and reports.
Create detailed written technical documentation of projects independently using provided guidelines.
Maintain project control in accordance with project schedules.
Develop desktop applications using C#, VB/VB.Net/VBS with IDEs like Visual Studio.
Develop web applications using C#, PHP, VBS, ASP/ASP.NET with knowledge of HTML, JavaScript, and CSS.
Use IDEs such as Visual Studio, Sublime, and VS Code for web development.
Perform frontend development using Angular, React, Vue, ES6, and TypeScript with Less/Sass.
Handle backend development using Web API/Service, JSON/XML, REST, and SOAP.
Use various web development tools.
Develop mobile applications for iOS (Objective-C/Swift) and Android (Java/Kotlin).
Build hybrid applications using Ionic Framework, React Native, and Flutter.
Use IDEs such as Android Studio, Xcode, Visual Studio, and VS Code for mobile development.
Possess basic knowledge of networking.
Knowledgeable in securing system applications.
"
"Assistant, ERC","Assistant, ERC role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Associate Consultant,"Assist in gathering and analyzing business and system requirements. Support implementation of IT solutions and system integrations. Prepare reports, presentations, and documentation for clients. Collaborate with developers, analysts, and stakeholders. Conduct data analysis and process improvement assessments. Support testing, deployment, and system configuration.. Proficiency in application software development and multiple programming languages.
Ability to develop, analyze, and modify program logic for new and existing applications.
Strong debugging, testing, and troubleshooting skills.
Experience in coding, documenting, implementing, and maintaining software systems.
Ability to analyze user requirements and translate them into technical solutions.
Knowledge of software development life cycle (SDLC) methodologies.
Familiarity with SaaS and package-based solutions.
Strong problem-solving and critical thinking abilities.
Attention to detail and accuracy in software development tasks.
Ability to integrate and maintain application components effectively.
Experience in system maintenance and performance optimization.
Ability to work in a project-based and team-oriented environment.
"
"Associate, Transformation and Innovation","Support digital transformation projects and system implementations. Analyze business processes and identify opportunities for automation. Assist in developing and implementing innovative IT solutions. Work with cross-functional teams to improve system efficiency. Track project progress using dashboards and reporting tools. Document processes, workflows, and transformation initiatives.. Facilitate process improvement and assist business owners in improving existing process performance through analysis, experience and employee input in a project environment. Build and deliver Operational/Delivery Excellence training and coach on business excellence principles. Assist organization in the creation, monitoring, measurement and analysis of standardized processes. Support the development and implementation of a formal management review of Key Performance/Operating results, and train and coach all functional areas on measurement principles. Provide support/input to weekly and/or monthly Key Performance Indicator (KPI) reports and review meetings. Facilitate and/or participate in cross functional Process Improvement Initiatives and root cause analysis. Implement strategic quality direction into operational guidelines and practices and support ongoing expansion of the quality culture across the organization. Provide support to develop support assets, e.g., tracking tool for operational excellence success stories, tracking of root cause/lessons learned from actual delivery experiences, etc. Communicate to key management stakeholders on salient quality issues and business opportunities"
Automation Engineer III,"Develop automation scripts for system operations, testing, or workflows. Design and implement automated testing frameworks. Optimize processes using scripting and automation tools. Monitor automated systems and troubleshoot failures. Collaborate with development and DevOps teams. Maintain documentation of automation processes.. Strong skills in UI automation (Playwright or TestCafe) using JavaScript/TypeScript.
Selenium experience is required, with other UI automation tools being optional.
Proven experience with API testing (e.g., Postman), CI/CD pipelines, and tools such as GitHub and Jenkins.
Hands-on knowledge of Docker and monitoring tools like Grafana.
Familiarity with collaboration and project tools (e.g., Jira, Confluence, Asana, Slack).
Strong communication, presentation, and problem-solving skills with high attention to detail.
Ability to work independently, adapt in ambiguous environments, and take on tasks beyond core competencies.
A proactive, ""can-do"" attitude with a focus on continuous learning and innovation.
"
BHW,"BHW role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Back Office Staff,"Perform data entry, validation, and record management using systems. Process transactions and update information in databases. Generate reports using Excel or system tools. Maintain digital files and documentation. Support internal workflows and system operations. Coordinate with teams for data or system-related concerns.. Background in back-office support, document review, data entry, or related roles, Strong attention to detail and analytical skills, Proficient in Microsoft Excel or Google Sheets, Able to work independently and manage tasks efficiently"
Blockchain Developer / Blockchain Mentor,"Develop blockchain applications and smart contracts. Work with decentralized platforms and distributed systems. Ensure security and performance of blockchain solutions. Conduct code reviews and technical mentoring. Create documentation and learning materials. Stay updated with blockchain trends and technologies.. Design, develop, and deploy blockchain-based applications and decentralized systems (DApps). Develop and implement smart contracts using platforms such as Ethereum, Solidity, or similar technologies. Maintain and optimize blockchain infrastructure for performance, scalability, and security. Conduct code reviews, testing, and debugging of blockchain applications. Ensure security best practices in smart contracts and blockchain systems. Integrate blockchain solutions with existing systems and APIs. Provide mentorship, training sessions, and technical guidance to developers or trainees. Create learning materials, documentation, and technical tutorials. Stay updated with emerging blockchain technologies, tools, and industry trends. Collaborate with cross-functional teams including developers, product managers, and stakeholders."
Chief Marketing Officer (CMO),"Develop and execute digital marketing strategies across web and online platforms. Lead data-driven campaigns using analytics and marketing technologies. Oversee website, SEO/SEM, and digital advertising initiatives. Analyze customer data and behavior using analytics tools. Manage marketing automation systems and CRM platforms. Collaborate with IT and product teams for digital platform improvements. Monitor campaign performance and optimize using data insights.. Develop and execute go-to-market plans with management and R&D for IT services and mobile app features. Run and optimize marketing campaigns across multiple channels (e.g., LinkedIn, Meta, TikTok) to improve results and ROI. Use AI tools to create, automate, and optimize campaigns, including SEO/ASO and personalized messaging. Manage brand voice and produce marketing content such as service materials, white papers, and short-form videos. Track and report on key marketing metrics (e.g., CAC, LTV, MQL/SQL) to support data-driven decisions. Represent the company in events, online communities, and digital platforms to improve relationships with users, and industry communities."
Collector,"Collector role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Computer Programmer,"Computer Programmer role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Consultant,"Consultant role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Customer Experience Agent,"Provide first-level technical support for applications and systems. Handle customer interactions through digital channels. Identify user pain points and recommend system improvements. Track issues using ticketing and reporting systems. Assist in testing new features and updates from a user perspective. Ensure timely resolution of issues and high customer satisfaction.. Provide first-level technical support for software applications, systems, and digital platforms. Handle customer inquiries via chat, email, or phone regarding technical issues. Troubleshoot common system errors, login issues, and application problems. Document customer concerns, technical issues, and resolutions in ticketing systems. Escalate complex technical problems to higher-level IT support or development teams. Guide users on system usage, features, and best practices. Monitor and follow up on reported issues to ensure resolution and customer satisfaction. Maintain knowledge base articles and support documentation. Assist in testing new features or updates from a user experience perspective. Ensure compliance with service-level agreements (SLAs) and support standards."
Customer Service Associate (CSA),"Respond to user inquiries related to systems or services. Assist in troubleshooting basic technical and account-related issues. Maintain accurate records of customer interactions. Support onboarding and user guidance for digital platforms. Collaborate with IT teams to resolve system concerns. Monitor and follow up on customer issues.. Prevent issues, solve queries, and delight our customers. First point of contact of customers by answering their requests through phone, chat and/or email. It includes everything from order and product questions to payment matters and website guidance. Our Customer Service Associates use a variety of tools to navigate, research, and review solutions and communicate effectively with customers. Articulate, and detail-oriented. Friendly and customer-focused in every situation. Ability to learn quickly and embrace change. Comfortable multi-tasking in a high-energy environment.. Respond to customer inquiries via phone, email or chat. Provide exceptional service to customers during each interaction. Address customer concerns and/or provide solutions. Adhere to all company guidelines regarding the delivery of service and support to customers. Escalate problematic customer issues to management according to standard operating procedures. Properly document each customer interaction according to company standard operating procedures. Maintain an excellent on-time attendance record (schedule adherence. Adhere to company quality assurance guidelines and standard operating procedures. Act with the highest levels of integrity and professionalism in each customer interaction.. Respond promptly to AA inquiries through phone, live chat, and email. Provide accurate information and clear solutions to help resolve issues efficiently. Ensure every interaction feels professional, supportive, and reassuring. Troubleshoot concerns and guide customers with practical steps. Log all interactions and resolutions in internal systems. Help improve existing knowledge base articles by identifying common questions and patterns. Maintain availability during scheduled hours to ensure consistent customer coverage. Share insights, support peers, and contribute to team learning and process improvements. Comfortable working in a team-oriented, high-volume support environment. Great spoken and written communication skills. Business level English proficiency is required for effective customer communication. Candidates must successfully complete both written and oral English proficiency assessments to demonstrate required communication standards. Empathy, active listening, and patience when dealing with customer concerns. Ability to manage and resolve complaints professionally. Strong attention to detail and analytical thinking. Familiarity with MS Word and Excel. A proactive, self-motivated attitude and the ability to work independently. Adaptability to shifting priorities—because customer needs evolve quickly.. Respond to internal, external, and Message Center calls promptly, meeting established timelines to meet service level expectations regarding call handling time and calls per hour. Offer information and expert assistance regarding reverse mortgage loans by swiftly retrieving basic loan details and providing customers with accurate information. When required, guide and direct customers to specialized servicing personnel for more specific needs (e.g., SPOCs). Accurately obtain and verify customer information. Foster customer relationships by actively listening and promptly resolving complaints with precision and efficiency. Conduct research and follow up with customers in a timely manner, collaborating with other mortgage associates to gather the necessary information."
Customer Service Representative (CSR),"Handle customer inquiries via chat, email, or phone. Provide basic technical support for systems and applications. Troubleshoot common issues and guide users through solutions. Document customer concerns and resolutions in ticketing systems. Escalate complex issues to technical teams. Ensure compliance with service-level agreements (SLAs).. CSR is primarily responsible for providing customer service support according to the scope of work and service level requirements. This includes ensuring call quality and quantitative standards are observed in meeting customer care needs and resolving them in a timely fashion, Strong communication skills.. Receive and respond to customer calls, emails and chats; capture and verify required information. Support customer enquiries with empathy regarding financial products and services in an efficient and timely manner. Resolve customer issues and concerns in a professional and efficient manner. Maintain accurate records of customer interactions and resolutions. Effectively communicate solutions and recommendations to clients.  Stay up to date with product and service offerings to provide accurate information to customers. Meet or exceed established performance metrics, such as response time and customer satisfaction. Meet or exceed quality assurance targets. relevant experience of customer service experience, preferably in financial services. Strong written and verbal communication skills. Strong numeracy and problem-solving skills. Ability to work in a fast-paced environment and handle a high volume of customer inquiries. Strong attention to detail and ability to maintain accurate records. Positive and professional attitude. Communication (written / insights synthesis and reporting in a presentation). Decision making / critical thinking."
Data Analyst,"Data Analyst role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
E-commerce Associate,"Manage product listings, descriptions, and pricing on e-commerce platforms. Update and maintain product data using content management systems (CMS). Monitor website performance, orders, and customer transactions. Analyze sales data and generate reports using Excel or analytics tools. Coordinate with developers or IT teams for website updates and issue resolution. Troubleshoot basic website or system issues (e.g., broken links, upload errors). Ensure proper integration of payment gateways and order systems. Support digital marketing efforts through content uploads and campaign updates. Maintain accurate inventory records within system platforms.. The eCommerce Associate is responsible for supporting all marketplaces. This associate must act with the Lion Brand Values in mind: Teamwork, Consumer & Customer Centric, Embrace & Lead Change, Work Smarter, and Have Fun!, Knowledge of Excel and different.com portals (i.e., Amazon, eBay, Walmart ), Ability to prioritize and complete tasks efficiently by deadline, Must be detail oriented with strong communication and organizational skills, Team player who is reliable, adaptable and a quick learner."
Engineering Assistant,"Assist in system setup, configuration, and maintenance. Support troubleshooting of hardware, software, or network-related issues. Help document technical processes, system designs, and workflows. Assist in testing systems, applications, or technical solutions. Monitor system performance and report issues or anomalies. Support implementation of IT infrastructure or system upgrades. Coordinate with engineers and IT teams for project execution. Maintain records of technical assets, configurations, and updates.. Assist engineers in daily operations and project implementation, Prepare reports, documentation, and technical records, Monitor site activities and coordinate with team members, Support maintenance, inspection, and troubleshooting tasks, Ensure compliance with safety and company standards, Knowledgeable in basic engineering operations and documentation, Proficient in MS Office (Excel, Word, etc.), Can work with minimal supervision, Strong attention to detail and good communication skills"
Enumerator,"Enumerator role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Executive Assistant,"Manage calendars, meetings, and communications using digital tools. Prepare reports, presentations, and documents using office and data tools. Handle data tracking, reporting, and administrative workflows. Coordinate with internal teams using collaboration platforms. Maintain digital records, files, and documentation. Assist in monitoring project progress and task tracking systems.. Provide high-level administrative support by managing schedules, communications, and operations to ensure executive efficiency and productivity, Manage the executive’s calendar, including meetings, appointments, and travel arrangements, Anticipate scheduling conflicts and adjust priorities to maximize time and productivity, Screen and manage calls and emails, responding on behalf of the executive when needed, Draft, proofread, and prepare correspondence, presentations, and reports, Organize meetings, including agenda preparation, minutes, and follow-ups on action items, Handle logistics such as room bookings, catering, and tech setup for meetings and events, Coordinate travel arrangements, including flights, accommodations, and itineraries, Excellent communication skills (written and verbal), Strong organizational skills and attention to detail, High level of discretion and ability to handle confidential information, Adaptable and flexible in managing changing priorities and deadlines, Proactive mindset with strong problem-solving skills, Proficient in Microsoft Office or similar productivity tools."
Faculty,"Teach CS/IT subjects such as programming, databases, networking, or AI. Develop and update course materials and learning resources. Facilitate lectures, labs, and project-based learning. Supervise student research, capstone projects, and internships. Conduct research and publish academic outputs. Participate in curriculum development and academic activities.. Teach undergraduate and/or graduate courses in CS/IT (e.g., programming, databases, networking, artificial intelligence, software engineering). Develop and update course materials, syllabi, and instructional resources. Facilitate lectures, laboratory sessions, and project-based learning activities. Evaluate student performance through exams, coding projects, and research outputs. Supervise student projects, capstone/thesis work, and internships. Conduct research and publish in academic journals or conferences. Integrate emerging technologies and tools into teaching (e.g., cloud computing, AI, data analytics). Participate in curriculum development and academic program improvement. Attend faculty meetings, trainings, and institutional activities. Maintain academic records and ensure compliance with institutional and accreditation standards."
Field Auditor,"Conduct on-site audits of IT systems, processes, and data handling. Review system logs, reports, and access controls for compliance. Identify risks, inefficiencies, and data inconsistencies. Prepare audit reports with findings and recommendations. Verify implementation of corrective actions and system improvements. Coordinate with IT and operations teams during audits.. Review and verify the accuracy of branch records and ensure adherence to company policies. Conduct physical checks and reconcile branch stocks (new units, REPO units, TBAs, and spare parts) against inventory reports. Ensure the completeness of sales documents before the release of units to customers and submission to financing. Perform customer confirmations and unit verifications to ensure accuracy in sales invoices and credit investigation reports. Investigate audit findings, clarify discrepancies, and issue audit memorandums as needed. Communicate audit results and recommend operational improvements to Branch Managers. Suggest amendments or new policies to improve branch operations and ensure compliance."
Finance Associate,"Finance Associate role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Financial Advisor,"Financial Advisor role involving use of digital systems, data management, reporting, and technology tools. Perform tasks related to system operations, data processing, analysis, and documentation. Collaborate with teams and ensure accuracy, efficiency, and system performance. Utilize IT tools and platforms to support operations and decision-making. Maintain records and ensure data security and integrity. Generate reports and insights for organizational use. Improve workflows using technology solutions. Support system implementation and troubleshooting. Ensure compliance with standards and procedures. Enhance operational efficiency through digital practices."
Government Internship Program (GIP) Participant,"Assist in basic technical support for hardware, software, and network issues. Perform data entry, validation, and record management using digital systems. Support system monitoring, maintenance, and troubleshooting tasks. Help generate reports using Excel or internal systems. Maintain documentation and assist in IT-related administrative tasks. Coordinate with IT staff for system updates and issue resolution.. Assist in basic technical support for hardware, software, and network issues. Support the maintenance and updating of databases and information systems. Help manage digital records, files, and documentation using IT systems. Assist in system monitoring, troubleshooting, and routine maintenance tasks. Provide support in IT-related projects, such as system upgrades or digitalization initiatives. Perform data encoding, validation, and report generation. Ensure proper handling of data in compliance with data privacy and security policies. Assist in maintaining IT inventory and documentation. Coordinate with IT personnel and administrative staff for system-related concerns. Provide basic user assistance and technical guidance when needed."
Graphic Designer,"Design UI components such as layouts, icons, and web/app visuals. Create digital marketing and branding materials. Collaborate with developers to ensure design implementation. Optimize graphics for responsiveness and performance. Maintain design systems and style guides.. Design visual content for websites, mobile applications, and digital platforms. Create UI components such as layouts, wireframes, icons, and interactive elements. Collaborate with developers to ensure proper implementation of designs. Develop branding materials, digital assets, and multimedia content. Ensure design consistency across systems, platforms, and devices. Optimize graphics for performance, responsiveness, and accessibility. Conduct basic user experience considerations in design decisions. Prepare and export design assets for web and application development. Maintain design systems, style guides, and documentation. Stay updated with design tools, trends, and emerging technologies."
